                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0722,                0.65026,                0.92976,                 1.5905,                0.93866,                0.94043,                0.68028,                0.49202,                0.53945,                0.28948,                 1.2762,                0.79031,                 1.0013,                 1.8319,                 1.1355,                 1.0011,               0.007327,               0.007327,               0.007327
                     57,                 1.0753,                0.64741,                0.93226,                 1.6307,                0.93577,                0.94315,                0.66215,                0.49837,                0.53996,                0.28904,                 1.2952,                0.80813,                 0.9998,                 1.8547,                 1.1552,                 1.0017,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0599,                0.64587,                0.92393,                 1.5955,                0.92324,                0.93401,                0.68496,                  0.487,                0.54385,                0.28712,                 1.3121,                0.78309,                 1.0049,                 1.8432,                 1.1344,                 1.0041,               0.007228,               0.007228,               0.007228
                     59,                 1.0517,                0.63896,                0.92221,                 1.5838,                0.92278,                 0.9352,                0.66549,                0.49862,                0.54648,                0.29057,                 1.2851,                0.78388,                      1,                 1.8271,                  1.144,                0.99938,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0727,                 0.6517,                0.92516,                 1.6128,                 0.9381,                0.93879,                0.72212,                0.48191,                0.54154,                0.28627,                 1.3124,                0.77736,                 1.0028,                 1.8439,                 1.1293,                 1.0131,               0.007129,               0.007129,               0.007129
                     61,                 1.0672,                0.64053,                0.92941,                 1.5963,                0.92761,                0.94308,                 0.6675,                0.50722,                0.55156,                0.29187,                 1.2897,                0.77389,                0.99772,                 1.8499,                 1.1217,                 1.0053,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0776,                0.63213,                0.92592,                 1.6289,                0.92081,                0.94196,                0.64316,                0.50916,                0.53012,                0.28171,                 1.2821,                 0.7694,                 0.9894,                 1.8635,                 1.1202,                 1.0106,                0.00703,                0.00703,                0.00703
                     63,                 1.0602,                 0.6344,                0.92818,                 1.5761,                0.90191,                0.94273,                0.71006,                0.50681,                 0.5539,                0.29637,                 1.3074,                0.75694,                 1.0062,                 1.8326,                 1.0669,                 1.0073,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0398,                0.61812,                0.91939,                 1.5615,                0.90581,                0.93451,                0.69136,                0.49953,                0.53928,                0.28953,                 1.2894,                0.78523,                 1.0017,                 1.8667,                 1.1742,                 1.0148,               0.006931,               0.006931,               0.006931
                     65,                 1.0512,                0.61859,                0.92104,                 1.5957,                0.90558,                0.93397,                0.75157,                 0.4743,                0.54635,                0.29011,                 1.3155,                0.78726,                 1.0093,                 1.8806,                 1.1604,                 1.0182,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0409,                0.61851,                0.91945,                 1.5873,                0.89006,                0.92708,                0.72488,                0.48924,                0.55463,                0.29011,                 1.2999,                0.76479,                0.99912,                 1.8436,                  1.103,                 1.0031,               0.006832,               0.006832,               0.006832
                     67,                 1.0528,                0.62105,                0.92706,                 1.6139,                0.90981,                0.93621,                0.69612,                0.51534,                 0.5546,                0.29198,                 1.3022,                0.76668,                 1.0006,                  1.853,                 1.0958,                  1.009,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0616,                0.62012,                0.92698,                 1.6064,                  0.895,                 0.9382,                0.72131,                0.51433,                 0.5626,                0.30283,                 1.2664,                0.72907,                0.99266,                 1.8131,                  1.061,                0.99759,               0.006733,               0.006733,               0.006733
                     69,                 1.0527,                0.62077,                0.91874,                  1.597,                0.90093,                0.93497,                0.70991,                0.51272,                0.56255,                0.30347,                 1.2576,                0.73937,                0.98907,                 1.7943,                  1.065,                0.99878,              0.0066835,              0.0066835,              0.0066835
